MONTH,TIME EVENT BEGAN,TIME OF RESTORATION,AREA AFFECTED,NERC REGION,ALERT CRITERIA,EVENT TYPE,DEMAND LOSS (MW),NUMBER OF CUSTOMERS AFFECTED,STATE
June,6/16/2019 3:25,6/16/2019 7:55,Oklahoma:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather - Unspecified/Other,361,99924,Oklahoma
June,6/18/2019 6:21,6/18/2019 6:40,Washington: Grant County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Washington
June,6/19/2019 11:00,6/19/2019 11:01,Oklahoma:,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Oklahoma
June,6/19/2019 15:00,6/19/2019 19:30,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Nevada
June,6/19/2019 19:00,6/19/2019 22:30,Arkansas:,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,572,82045,Arkansas
June,6/20/2019 12:45,6/20/2019 16:11,Virginia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,481,60000,Virginia
June,6/21/2019 10:00,6/21/2019 11:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,California
June,6/21/2019 18:36,6/21/2019 19:27,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine
June,6/21/2019 19:15,6/21/2019 23:45,Kentucky: Tennessee:,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather - Unspecified/Other,589,50000,"Kentucky,Tennessee"
June,6/22/2019 0:30,6/22/2019 20:46,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,115,34637,"Alabama,Georgia"
June,6/23/2019 5:13,6/23/2019 10:58,Arkansas:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,47,16199,Arkansas
June,6/23/2019 22:00,6/23/2019 23:00,"Texas: Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,534,265000,Texas
June,6/24/2019 5:30,6/24/2019 8:45,Arkansas:,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,308,56451,Arkansas
June,6/24/2019 9:40,6/24/2019 15:17,Oklahoma: Oklahoma County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Oklahoma
June,6/26/2019 13:58,6/26/2019 14:03,North Dakota: Williams County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,53,0,North Dakota
June,6/28/2019 14:25,6/28/2019 18:55,Idaho: Nez Perce County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Idaho
June,6/30/2019 15:15,6/30/2019 16:15,"New York: Nassau County, Suffolk County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,3189,52498,New York
June,6/30/2019 15:30,6/30/2019 20:30,"Illinois: Cook County, DeKalb County, DuPage County, Grundy County, Iroquois County, Ford County, Lake County, Kendall County, Kankakee County, Kane County, Ogle County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,491,100000,Illinois
July,7/2/2019 13:00,7/2/2019 13:22,Idaho: Ada County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Idaho
July,7/6/2019 13:57,7/6/2019 22:00,Mississippi: Panola County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Physical Attack/Vandalism,604,3000,Mississippi
July,7/9/2019 1:59,7/9/2019 15:50,Texas: Louisiana: Arkansas: Mississippi:,"SERC,TRE",Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,"Texas,Louisiana,Arkansas,Mississippi"
July,7/10/2019 12:00,7/10/2019 12:15,Utah: Salt Lake County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Utah
July,7/10/2019 12:10,7/10/2019 12:30,"Texas: Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,289,57000,Texas
July,7/11/2019 11:08,7/11/2019 11:13,Texas: Lynn County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,26,2043,Texas
July,7/13/2019 7:15,7/13/2019 17:00,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,488,55730,Louisiana
July,7/13/2019 13:00,7/13/2019 23:55,"Louisiana: Acadia Parish, Avoyelles Parish, Catahoula Parish, Evangeline Parish, Grant Parish, Iberia Parish, LaSalle Parish, Natchitoches Parish, Rapides Parish, Sabine Parish, St. Landry Parish, St. Martin Parish, St. Mary Parish, St. Tammany Parish, Allen Parish, Beauregard Parish, Calcasieu Parish, Vermilion Parish, De Soto Parish, Jefferson Davis Parish, Red River Parish, Tangipahoa Parish, Vernon Parish, Washington Parish;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,452,72669,"Louisiana,Washington"
July,7/13/2019 18:47,7/13/2019 23:37,New York: New York County;,NPCC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Unknown/Unspecified,517,63000,New York
July,7/17/2019 14:12,7/17/2019 14:30,Oklahoma: Oklahoma County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Oklahoma
July,7/19/2019 9:55,7/19/2019 13:00,Wisconsin: Dane County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,298,87166,Wisconsin
July,7/19/2019 19:00,7/19/2019 20:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,372,400000,Michigan
July,7/20/2019 3:00,7/20/2019 7:00,"Michigan: Kent County, Newaygo County, Mecosta County, Montcalm County, Isabella County, Ionia County, Allegan County, Barry County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,193,160000,Michigan
July,7/20/2019 7:37,7/20/2019 9:20,Missouri: Boone County;,SERC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Physical Attack/Vandalism,0,0,Missouri
July,7/20/2019 11:55,7/21/2019 0:00,Wisconsin: Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,200,50000,"Wisconsin,Michigan"
July,7/21/2019 20:54,7/21/2019 23:00,"New York: Kings County, New York County, Queens County, Bronx County, Westchester County, Richmond County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,60,45000,New York
July,7/22/2019 13:15,7/22/2019 17:50,New Jersey: Gloucester County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,343,165000,New Jersey
July,7/22/2019 16:00,7/22/2019 23:00,"Pennsylvania: Bucks County, Delaware County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,49,95600,"Pennsylvania,Delaware"
July,7/23/2019 3:22,7/23/2019 5:40,California: Santa Cruz County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,111,25,Arizona
July,7/23/2019 5:22,7/23/2019 23:55,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,54,54535,Nebraska
July,7/23/2019 15:39,7/23/2019 19:00,Massachusetts:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,0,Massachusetts
July,7/23/2019 23:55,7/23/2019 23:56,Nebraska:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Nebraska
July,7/24/2019 8:01,7/24/2019 12:49,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine
July,7/24/2019 13:30,7/24/2019 13:31,Utah: Iron County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,208,1,Utah
July,7/28/2019 18:48,7/28/2019 19:18,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan
July,7/30/2019 8:45,7/30/2019 9:45,Louisiana:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather - Unspecified/Other,115,13720,Louisiana
August,8/2/2019 1:49,8/2/2019 1:55,Minnesota: Chisago County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Minnesota
August,8/2/2019 18:24,8/2/2019 19:28,Washington: Clark County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Washington
August,8/5/2019 0:02,8/5/2019 17:23,Oregon: Umatilla County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,66,164163,Oregon
August,8/7/2019 8:40,8/7/2019 13:10,Washington: Pierce County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Washington
August,8/7/2019 9:30,8/7/2019 11:15,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine
August,8/7/2019 15:00,8/7/2019 15:30,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,California
August,8/8/2019 16:16,8/8/2019 22:41,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather - Unspecified/Other,1024,5600,Ohio
August,8/9/2019 9:53,8/9/2019 10:46,Texas: Travis County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Texas
August,8/10/2019 16:11,8/10/2019 16:46,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan
August,8/10/2019 19:59,8/10/2019 21:04,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan
August,8/13/2019 0:00,8/13/2019 4:30,North Dakota: Mercer County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,666,111556,North Dakota
August,8/13/2019 10:00,8/13/2019 11:00,California: Placer County;,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,Physical Attack/Vandalism,0,0,California
August,8/13/2019 15:10,8/13/2019 17:30,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather - Unspecified/Other,852,140705,Texas
August,8/15/2019 0:37,8/15/2019 23:03,California: Marin County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Unknown/Unspecified,0,0,California
August,8/15/2019 3:07,8/15/2019 3:56,District of Columbia: Maryland:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,150,102664,"District of Columbia,Maryland"
August,8/15/2019 8:30,8/15/2019 13:00,New York: Tompkins County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Generation Inadequacy Load/Fuel/Supply,0,0,New York
August,8/15/2019 11:00,8/15/2019 15:30,Kentucky: Ohio County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,833,140939,"Kentucky,Ohio"
August,8/15/2019 15:11,8/15/2019 18:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather - Unspecified/Other,80,61318,Texas
August,8/18/2019 15:59,8/18/2019 23:00,Louisiana: Texas:,"SERC,TRE",Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Unknown/Unspecified,271,86373,"Louisiana,Texas"
August,8/18/2019 16:30,8/18/2019 22:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Unknown/Unspecified,259,61000,Texas
August,8/18/2019 16:47,8/18/2019 23:00,Texas:,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Unknown/Unspecified,752,86373,Texas
August,8/21/2019 7:56,8/21/2019 12:26,Ohio:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,756,1397,Ohio
August,8/21/2019 15:30,8/21/2019 20:00,Massachusetts: Middlesex County[13];,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Physical Attack/Vandalism,0,0,Massachusetts
August,8/24/2019 16:10,8/24/2019 19:28,Washington:,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Physical Attack/Vandalism,0,0,Washington
August,8/25/2019 1:44,8/25/2019 2:20,Washington: King County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Washington
August,8/26/2019 3:00,8/26/2019 19:00,Oklahoma:,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,0,Oklahoma
August,8/26/2019 9:09,8/26/2019 13:34,North Dakota:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,724,103779,North Dakota
August,8/26/2019 13:00,8/26/2019 19:00,Oklahoma:,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,850,95000,Oklahoma
August,8/29/2019 17:30,8/29/2019 23:30,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan
August,8/31/2019 6:00,8/31/2019 16:00,California: Calaveras County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,California
August,8/31/2019 15:05,8/31/2019 15:46,Pennsylvania: New Jersey:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Pennsylvania
September,9/4/2019 11:13,9/4/2019 11:57,Maryland: District of Columbia:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,"District of Columbia,Maryland"
September,9/4/2019 14:30,9/4/2019 18:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather - Unspecified/Other,966,221408,Texas
September,9/5/2019 4:15,9/5/2019 15:17,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,1006,172278,South Carolina
September,9/5/2019 10:08,9/5/2019 12:08,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine
September,9/5/2019 12:00,9/5/2019 22:00,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,3,2000,North Carolina
September,9/5/2019 16:00,9/5/2019 22:36,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,1052,116000,"North Carolina,South Carolina"
September,9/6/2019 8:20,9/6/2019 12:50,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,854,77000,North Carolina
September,9/10/2019 21:22,9/10/2019 21:23,Wyoming: Sweetwater County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,885,0,Wyoming
September,9/11/2019 22:35,9/11/2019 23:59,"Michigan: Ionia County, Kent County, Barry County, Montcalm County, Allegan County, Ottawa County, Newaygo County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,959,54000,Michigan
September,9/13/2019 2:31,9/13/2019 17:00,Tennessee:,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Tennessee
September,9/19/2019 5:55,9/19/2019 14:30,Arizona: Pima County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Generation Inadequacy Load/Fuel/Supply,0,0,Arizona
September,9/19/2019 18:40,9/19/2019 18:46,Minnesota: Washington County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Minnesota
September,9/20/2019 0:21,9/20/2019 12:04,Oklahoma: Oklahoma County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Oklahoma
September,9/24/2019 15:56,9/24/2019 19:25,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Washington
September,9/25/2019 3:47,9/25/2019 15:40,"California: Napa County, Nevada County, Placer County, Plumas County, Sonoma County, Butte County, Yuba County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,25,69524,"California,Nevada"
September,9/25/2019 9:59,9/25/2019 10:00,Texas:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,649,210237,Texas
September,9/25/2019 17:25,9/25/2019 18:16,Wisconsin: Marathon County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,Wisconsin
September,9/26/2019 14:31,9/26/2019 15:14,Maryland: Baltimore County;,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maryland
September,9/29/2019 7:38,9/29/2019 12:08,California: Alameda County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Unknown/Unspecified,709,50072,California
September,9/30/2019 5:35,9/30/2019 8:10,Washington: King County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Washington
September,9/30/2019 10:53,9/30/2019 10:54,Idaho: Bonneville County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Idaho
September,9/30/2019 12:17,9/30/2019 12:58,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Physical Attack/Vandalism,3736,0,Nevada
October,10/3/2019 0:13,10/3/2019 4:00,Missouri: Reynolds County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,Missouri
October,10/4/2019 5:15,10/4/2019 9:45,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Generation Inadequacy Load/Fuel/Supply,0,0,California
October,10/6/2019 5:15,10/6/2019 9:45,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Generation Inadequacy Load/Fuel/Supply,0,0,California
October,10/6/2019 14:50,10/6/2019 15:00,"Texas: Hidalgo County, Cameron County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,490,101000,Texas
October,10/9/2019 0:27,10/9/2019 4:57,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,2400,737808,California
October,10/10/2019 0:22,10/10/2019 2:12,Colorado: Jefferson County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Colorado
October,10/10/2019 2:06,10/10/2019 5:05,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine
October,10/11/2019 10:56,10/11/2019 11:46,Michigan: Wayne County;,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan
October,10/12/2019 15:00,10/12/2019 16:21,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Texas
October,10/15/2019 3:19,10/15/2019 6:38,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Ohio
October,10/15/2019 19:57,10/15/2019 20:44,Kansas: Shawnee County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Kansas
October,10/16/2019 7:00,10/16/2019 11:30,Texas: Louisiana: Arkansas: Mississippi:,"SERC,TRE",Damage or destruction of its Facility that results from actual or suspected intentional human action.,Physical Attack/Vandalism,0,0,"Texas,Louisiana,Arkansas,Mississippi"
October,10/17/2019 0:45,10/17/2019 9:30,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,425,101683,"Connecticut,Massachusetts,New Hampshire,Maine,Rhode Island,Vermont"
October,10/19/2019 5:57,10/19/2019 13:58,South Dakota: Codington County; Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,South Dakota
October,10/19/2019 14:00,10/19/2019 21:07,California: Imperial County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,California
October,10/20/2019 2:00,10/20/2019 22:15,"Texas: Cass County, Cameron County, Collin County, Dallas County, Ellis County, Erath County, Hunt County, Kaufman County, Lamar County, Panola County, Rains County, Rockwall County, Rusk County, Tarrant County, Van Zandt County, Wood County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,769,400000,Texas
October,10/23/2019 0:49,10/23/2019 4:05,"New York: Monroe County, Broome County;",NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,New York
October,10/23/2019 14:36,10/23/2019 19:06,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,493,50000,California
October,10/24/2019 5:15,10/24/2019 9:45,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Generation Inadequacy Load/Fuel/Supply,0,0,California
October,10/24/2019 17:02,10/24/2019 17:09,Ohio: Lorain County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Ohio
October,10/25/2019 2:53,10/25/2019 4:37,South Carolina: Cherokee County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Physical Attack/Vandalism,0,0,South Carolina
October,10/26/2019 1:27,10/26/2019 18:20,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,621,82124,California
October,10/26/2019 5:15,10/26/2019 17:31,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,0,Louisiana
October,10/26/2019 8:07,10/26/2019 8:45,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,223,70000,Maine
October,10/26/2019 18:00,10/26/2019 22:30,Tennessee:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,3190,972000,Tennessee
October,10/29/2019 13:46,10/29/2019 14:49,"Wisconsin: Brown County, Manitowoc County, Calumet County, Winnebago County, Kewaunee County, Door County, Oconto County, Marinette County, Forest County, Langlade County, Oneida County, Vilas County, Lincoln County, Oneida County, Portage County;",MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Wisconsin
October,10/30/2019 6:32,10/30/2019 13:29,"California: Los Angeles County, Orange County, Riverside County, San Bernardino County, Ventura County, Kern County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,285,114402,California
October,10/31/2019 22:00,11/1/2019 2:30,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,53943,Pennsylvania
November,11/1/2019 0:48,11/1/2019 23:45,"New York: Broome County, Monroe County;",NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,594,88066,New York
November,11/1/2019 1:00,11/1/2019 13:00,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,279,66325,New York
November,11/1/2019 1:15,11/1/2019 21:30,Connecticut: Maine: Massachusetts: Rhode Island: New Hampshire: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,0,"Connecticut,Massachusetts,New Hampshire,Maine,Rhode Island,Vermont"
November,11/1/2019 2:41,11/1/2019 7:11,New York: Broome County;,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather - Unspecified/Other,0,0,New York
November,11/3/2019 11:10,11/3/2019 22:17,Minnesota: Sherburne County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Unknown/Unspecified,0,0,Minnesota
